what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1363039183229
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1363039183229
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1363039183229
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1363039183229
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1363039183229
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1363039183229
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1363039183229
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1363039183229
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1363039183229
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1363039183229
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1363039183249
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1363039183249
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1363039183249
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1363039183249
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1363039183249
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1363039183249
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1363039183249
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363039183249
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1363039183249
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363039183249
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1363039183249
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1363039183259
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1363039183279
os,sysinfo,,,"win32",1363039183279
arch,sysinfo,,,"x86_64",1363039183279
ws,sysinfo,,,"win32",1363039183279
locale,sysinfo,,,"en_IN",1363039183279
processors,sysinfo,,,"4",1363039183279
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363039183279
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1363039183279
java.specification.name,sysinfo,,,"Java Platform API Specification",1363039183279
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363039183279
java.specification.version,sysinfo,,,"1.7",1363039183279
java.vendor,sysinfo,,,"Oracle Corporation",1363039183279
java.version,sysinfo,,,"1.7.0_07",1363039183279
java.vm.info,sysinfo,,,"mixed mode",1363039183279
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1363039183279
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363039183279
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363039183279
java.vm.specification.version,sysinfo,,,"1.7",1363039183279
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363039183279
java.vm.version,sysinfo,,,"23.3-b01",1363039183279
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1363039183309
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1363039183339
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1363039183349
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1363039183529
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1363039183549
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1363039183549
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1363039183689
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1363039185339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039207299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039209069
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1363039209079
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1363039217579
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1363039217799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039217839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039220259
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1363039220259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039223549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039225349
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1363039225359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363039234629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363039236469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363039236839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363039243419
